displayName,__typename,TxCodeGroup.groupName,TxCodePrice.supplyPrice,TxCodePrice.taxItemType
"관절SET(-CBC)_네오딘_전혈EDTA1ml, 혈청1ml",TxCode,외부의뢰,245455,2
VDI Cancer Panel(종양종합지표검사)_네오딘_혈청(전용키트)1ml,TxCode,외부의뢰,172728,2
VDI Cancer Risk Assessment_네오딘_혈청(전용키트)1ml,TxCode,외부의뢰,163637,2
VDI Feline GI Lymphoma Panel_네오딘_혈청(전용키트)1ml,TxCode,외부의뢰,245455,2
VDI Pre-stem Cell Therapy Panel(국외)_네오딘_혈청(전용키트)1ml,TxCode,외부의뢰,272728,2
AFP(간암특이표지자)_네오딘_혈장(EDTA)0.5ml,TxCode,외부의뢰,122728,2
V-BTA_네오딘_뇨5ml,TxCode,외부의뢰,200000,2
Cadet braf(국외)_네오딘_뇨40ml,TxCode,외부의뢰,636364,2
PDST(항암제감수성검사)_네오딘_조직(전용배지),TxCode,외부의뢰,600000,2
Lymphoma PCR-PARR_네오딘_슬라이드,TxCode,외부의뢰,118182,2
"국내 조직병리검사(기본,첫번째검체)_네오딘",TxCode,외부의뢰,154546,2
국내 조직병리검사(두번째검체 추가)_네오딘,TxCode,외부의뢰,81819,2
국내 조직병리검사(세번째검체 추가)_네오딘,TxCode,외부의뢰,60000,2
국내 조직병리검사(네번째검체 추가)_네오딘,TxCode,외부의뢰,60000,2
"면역조직화학염색(항체1종,기본)_네오딘_조직,미염색코팅슬라이드(포르말린고정,실온)",TxCode,외부의뢰,254546,2
"면역조직화학염색(항체1종 추가)_네오딘_조직,미염색코팅슬라이드(포르말린고정,실온)",TxCode,외부의뢰,118182,2
