0,1,2,3,4,5,6,7,8,9,10,11,12
"S) menace +,-, dazzle +,+, PLR +,+
OD) 핵경화, 성상초자체증
OS) hypermature cataract","STT 19/22
IOP 9/10","A) OD) 핵경화, 성상초자체증
OS) hypermature cataract","OS) 옵타낙 bid
 
",,,,,,,,,
"OS) corneal superficial ulcer(2-3mm), flare ++, hypopyon, miosis
OD) 눈이 말라보임. 
IOP 11/10",A) 다른 trauma가 없었다면 스트레스로 인해 눈물량 부족으로 궤양발생 후 포도막염으로 진행한 것으로 판단. 과성숙백내장으로 인해 염증 심화되어 보임. ,"크라 6
미드 4
라큐아 4,4
아트로핀 3(오늘 하루)",,,,,,,,,,
"s) OD) 수정체 전낭에 infalmmatory dots 많이 생김. 
            각막 내피쪽 keratic prespitates. 
    OS) NRF
IOP 9/25",A) 우안의 포도막염은 계속 진행중. 만성포도막염에 대한 증상 보이고 있고 개선 양상 아니어서 pds 용량 증량 요함. 점안처치 그대로 유지.,Rx) pds 2.5 로 증량,"
CF) 항구토제 ::  maropitant 1mg/kg PRN 4days
                         miso 5",P) 2주 후 재진. ,,,,,,,,
"S) menace +,+, dazzle +,+, PLR +,+
OU) IOL 삽입, PCO진행, No flare, No hyperemia, 
OD) mild corneal edema, 
OS) 전안방이 우안에 비해 더 깊어보임. ","STT 19/15
IOP 15/25",Normal fundus,"A) 양안 시력 잘 유지중. 
    좌안 안압이 다소 높아져 트루솝 bid 처방.(6개월 전 IOP 14/20)",P) 1주 후 재진. ,,,,,,,,
"IOP 11/12
NRF","A) 좌안 트루솝 bid로 잘 유지. 
    트루솝은 앞으로 계속 점안해야 합니다.",P) 다음주 재진(예약은 보호자가 전화주기로 함) ,,,,,,,,,,
S) OD) 병변부가 더 넓어짐. (GK한 부위가 힐링은 안되고 점점 넓어지고 있음!!),A) DB keratectomy로 일정하게 병변부 깍아낸다음 3안검플랩하기로 결정. ,"OP) 
● acepromazine IV 주사 후 혈압 낮아지는 증상 보임. (pale m.m.)
● propofol 대신 ketamine 유도마취 후 호흡마취 15분. 
● keratectomy 후 3안검 플랩 실시. 
● 각성 도중 다시 혈압 떨어져 창백해진 순간 있었으나 무사히 마취 회복.","Rx) 
1. 크라
2. 혈청
3. 미드
4. 라큐아  모두 qid",P) 넥칼라 해본적이 없어서 넥칼라 장착 후 입원 1-2일 하길 원하심. 하루 해보고 적응 잘하면 이틀 하신다고 함. ,,,,,,,,
"S) menace +,+, dazzle +,+, VP -,+, PLR +,+
OD) 3안검 내측면에 cyst. incipient cataract(AC)
OS) incipient cataract(nuclear)
OU) nuclear sclerosis, dorsal AC에 synechia흔적, iris atrophy
       vessels attenuation(OD>OS)","O) 
STT 16/15
IOP 10/9
FNA : 끈적하고 투명한 액체 나옴. 
         NRF","A) OU) PRA(progressive retinal atrophy), 
            incipient cataract
            nuclear sclerosis
     OD) 3rd eyelid cyst(내측면)",,"CE) 
● 현재 PRA가 확인되어 야맹증이 있는 것으로 사료됩니다. 같은 조건으로 다시 확인해보시고 만약 잘 보고 다닌다면 일시적으로 혈압이 높았을 것이라 판단됩니다. 
하지만 현재 PRA는 점점 야맹증이 심해지고 점차 주맹증으로 발전되어 실명에 이르는 질환이므로 항산화제를 꾸준히 복용하는 것이 좋습니다.
● 3안검 cyst는 결막의 점액과 수분이 축적된 것으로 FNA로 제거했어도 다시 재발할것으로 생각됩니다. 스테로이드 내복약 처방해야하나 일단 결막하주사와 안약으로 치료해보고 재발하면 다시 내원하세요.", Rx) 마이뷰 옵틱,,"
",,,,,
"
S) menace +,+, dazzle+,+, PLR +,+(긴장상태라 산동)
OD) NRF
OS) periocular erythema(mild pinky), mild chemosis.
- 3-4mm 정도의 linear ulcer 흔적(염색안됨). 
그 주변으로 corneal edema, vascularization (6시 방향에서 conjunctival injection)
- No flare","O)
STT 26/14(추후 재검 필요함)
IOP 20/20","A) OS) feline herpes viral conjunctivitis
           ulcer healling중.(ulcer는 발톱으로 인한 외상인 것으로 보임)"," Rx)
- 테라마이신, tid
   라큐아, tid",P) 다음주 금욜 재진. ,,,,,,,,
"S) OD) moderate hyperemia, corneal opacity(지난번에 비해 감소)
           각막 전반적인 혈관화
    OS) 10시 방향의 vascularization, iris atrophy
- 복부 촉진 시 복압상승.
- 항문 12-1시 방향으로 직경 5mm 정도의 solid mass.","O)
STT 9/14
IOP 12/14",A) 우안의 옵티뮨의 효과는 good!,"Rx)
- 옵티뮨 1,1
1. 맥시트롤 3,1
2. 라큐아 3,3",p) 1주 후 재진. ,"CE) 
-KCS는 평생관리하는 질환입니다. 약끊으면 다시 원상태로 돌아가니 꾸준하 점안처치 해주세요
- 항문주위 mass는 커지면 수술이 어려워질 수 있기때문에 작을 때 제거하여 조직검사 하시는 것이 좋습니다. 다음주에 외과선생님과 상담나누세요.
- 설사약 먹고도 증상 호전되지 않으면 다른 질환이 있을 수 있으니 내원하여 검사바랍니다.",,,,,,,
"3안검플랩 발사.
각막상태 양호.
debridement 시 벗겨지지 않음.
No stain","3일간 크라비트 bid
3일 후부터 맥시트롤 tid",p) 2주 후 재진. ,,,,,,,,,,
"S) 
OD) 각막 전체적으로 superficial vessels. moderate hyperemia
- 각막궤양에 염색이 안되어 debridement를 해봤더니 descemetocele과 그 주변으로 stromal ulcer 확인. epithelial lip으로 덮여있었음. 궤양발생 시점이 오래된 것으로 보임. 
-전안방 내 morgagnian cataract의 nucleus가 전방탈구되어 synechia되어있음.
   (6-9시 방향)
-flare ++","O) 
IOP 11/11
fundus: 우안 확인이 되나 포도막염때문에 희미해서 정확한 평가 불가.","A) OD) descemetocele, stromal ulcer,  anterior lens luxation & synechia of lens 
            moderate uveitis",CE) 데스메토실때문에 천공가능성 언급. 3안검플랩이 필요하나 심장질환과 나이를 고려하여 판단해야 함. 과성숙된 lens가 탈구되어 유착된 것이므로 수술로 제거불가하기 때문에 근본적인 문제 해결은 안될것으로 보임. 포도막염 재발 가능성 농후함. ,"Rx)
크라, 6
토브라 4
혈청, 6
미드, 4
리프레쉬 4","cepha 30mg/kg, carprofen 2.2mg/kg, famo 0.5mg/kg for 7days",P) 1주 후 재진. ,,,,,,
"S) menace-,-, dazzle -,-, PLR +,+(강한 빛에서만). VP +,+
    maze test: 부딪히고 다님. 
    fundus: 지난번과 비슷함. ",ALKP 1538,"A) pds 2mg/kg으로 복용 시 시력개선의 효과가 있었고 tapering하면서 시력소실 되었기 때문에 다시 1주간 2mg/kg 복용 시도해보기로 함. optic neuritis라면 염증이 개선되면서 다시 시력이 생기지 않을까 기대해봄. 시력이 회복되지 않는다면 보호자님 의견대로 바로 tapering하기로함. 
",,,,,,,,,,
"S) OS) 2시 방향에 corneal opacity, vascularization
STT 17/10
IOP 12/12","A) 좌안의 눈물량 감소, 각막궤양 등이 나타남.
KCS일 가능성 있으나 그 당시 약물치료 중이었으므로 맥시트롤 2주 사용 후 STT 재검하여 판단하기로 함. ","맥시트롤, tid",p) 2주 후 재진.  ,"심초, 복초 결과 큰 문제 없음
심장초음파의 경우 6개월 후 재진(성장 후 재진)
복초 신장 결석의 경우 모니터링
만약 강직 너무 자주 발생하면 ct 후 mri 진행
아니면 2주 뒤 재진
",,,,,,,,
"S)OU) menace +,+, dazzle +,+, PLR +,+. 정상동공.  
포도막염 흔적없음.  No flare. ","O) 
BT 39.5
STT 14/15
IOP 26/25","A) 증상회복은 먹는약의 효과일 가능성이 높음. 눈의 상태가 FIP로 인한 포도막염의 증상이라 볼 수 없고 결막염으로 인한 눈곱일 가능성 높음. 
안압이 upper margin이긴 하지만, 고양이라 variable하고 원발성 녹내장은 드물기 때문에 
1주 항생제 처치하고 체온측정, 증상완화 재진하기로 함. ","혈액검사 추천드려 시도하려 하였으나 너무 싫어해서 실패.
다음주 열 안떨어지면 마취 후 혈검하기로 함. ","doxy 10mg/kg, sid for 7days",,,,,,,,
"S) OU) posterior synechia, pigmented iris cysts, flare ++, keratic precipitates
IOP 7/7",A) 복막염 의심. FIP 검사 추천 ,"맥시트롤 4-6회
미드리아실 4회
           
초음파 상 복수 존재
a/g raio 0.4
신장캡슐에 저에코성의 마진
포도막염 
등등의 증상 종합해 보았을 때 fip 가능성 매우 높음","pds2mg/kg bid
famo 0.5mg/kg bid
for 5day","치료 방법은 없으며 5일 뒤 복수량 재평가
복수 채취할 수 있으면 리발타 테스트도 병행할 것",,,,,,,,
A) pds tapering하고 2주 후 재진 시 안저검사 후 간약 처방예정.,,,,,,,,,,,,
"S) OS) 각막의 1/2정도의 너비로 stromal ulcer.  focal descemetocele.
           flare +","IOP 16/12
sono: 2마리 임신.  장이 형성되어 1-2주 안에 출산 가능성 높음.","A) OS) stromal ulcer. uveitis
    3안검플랩을 하려했으나 임신으로 인해 최소한의 처치만 하기로 함. ","convenia 0.1cc, SC
carprofen 2.2mg/kg, sid for 7days","크라, 미드, 라큐아 qid",,,,,,,,
"OS) menace -, +, dazzle -,+, PLR +(mild),+
3-6시 사이에 aphakic crescent. vitreous prolapse","IOP 4/26
       3/17
         /19","OS) uveitis (flare+),  안압상승.","A) 점점 안압이 상승되고 있고 수정체 아탈구까지 진행되고 있음. 
루미간 sid 처방.",,,,,,,,,
"S) 선상의 ulcer -->debridement 후 lip 벗겨짐
   혈관화 및 혼탁은 비슷함.","
OP) 3안검 플랩(마취: ace 0.02ml, ketamine 0.4ml)",P) 1주 후 재진. 넥칼라 착용 권장.,"
1.크라 4","2. 혈청 6
3. 플루비 4
4. 라큐아 4","
",,,,,,,
"S) 안저 변화 없음. 시력회복 안됨. 
양측 이도 미약한 발적, 노란분비물. 부종은 없음. ","A) 
- pds tapering
외이염이 심한편이 아니라서 집에서 귀세정 해주시면 현재 먹는약으로 치료에 도움이 될 것.",,,,,,,,,,,
"S) OD) chronic keratitis(vascularization, pigmentation, corneal opacity(ventral region))
            buphthalmos, posterior lens luxation. 
OS) anterior lens luxation, mydraisis, episcleral congestion, mild corneal edema
      전안방 내 초자체 물질 다량 확인. ","
IOP 80/90
STT 4/13
fundus: 확인불가
혈검: BUN 43, sodium 162","A) OU) glaucoma due to anterior lens luxation
원래 2-3일 정도 입원하며 안압곡선 그려야하나 환자의 나이와 성격을 고려, 금요일에 와서 혈액검사 및 안압측정 하기로 함. 
- 현재 탈수는 없으나 신장수치 다소 높아서 만니톨 주사 후 구토나 식욕부진 보이면 언제든 병원으로 내원하여 신장수치, 전해질, CBC 등 평가하고 처치받기로 함. ",,"5:00   잘라탄 first drop
5:40   IOP 73/78  -> 2nd drop
6:30   60/63  -> 만니톨 1g/kg/hr
7:30   39/30  
8:00   25/19","Tx) 
1. 베톱틱 2,2
2. 트루솝 2,2
3. 잘라탄 2,0
4. 맥시트롤 4,4
5. 리포직 3,0
",,,,,,,
"S) No hyperemia.
OS) flare +
10시 IOP 3/11
 2시        3/13
 7:30       3/16
STT 13/5","A) OS) KCS(아직 각막변화는 미비한 혼탁, 눈곱 외 심하지 않음.)","우안) 옵타낙, bid
좌안) 트루솝, 베톱틱 bid
         맥시트롤 tid
         루미간    sid
         리포직    tid
",,,,,,,,,,
배농 후 베타딘 소독., 오플록사신 tid,,,,,,,,,,,
"OD) 궤양부 9시 방향 아직 염색되고 3안검 내측면과 유착되었던 상피를 떨어뜨렸더니 lip 형태로 쭉 늘어남. 제거실시.
- 렌즈의 핵이 각막유착된 것이 더 선명하게 보임. 
- 시력없음. ","크라 3,
리프레쉬3",P) 1주 후 재진. ,,,,,,,,,,
"S) menace -,-, dazzle -,+, PLR-,-, VP-,-
OU) 렌즈가 모두 아래로 누운채 탈구 되어 있고 전안방이 더 깨끗하게 보임.
OS) 전안방 내 유리체 변성물질 다량 확인. 수정체 위치 바뀜.
OD) 각막변성으로 인해 내부가 잘 안보이나 며칠 전보다는 전안방 염증 감소.
      잘라탄 점안중이나 축동은 안됨. 
IOP 13/25","A) 안압은 모두 정상범위내로 유지되고 있음. 
    좌안의 렌즈위치가 전방이 아니므로 잘라탄 sid로 점안 실시. ","p) 1주 후 재진.
    전방탈구였던 렌즈가 후방으로 변위되었으므로 혹시 망막의 기능이 조금 살아있다면 시력 회복의 가능성 있으므로 집에서 관찰해보기로 함. ","
",,,,,,,,,
"S) OS) 융기되었던 육아직 사라졌고 이물은 확인되지 않음. 
    debridement시 벗겨지지 않음.
    FDT -","A) 옵티뮨에 잘 반응하는 것으로 보아 면역매개성 pannus일 가능성 높음. 
한달이상 옵티뮨 점안예정.
스테로이드 qid 처방",P) 1주 후 재진. ,,,,,,,,,,
"S) OU) moderate chemosis, corneal edema, vascularization, severe hypopyon","O)
IOP 4/4
STT 24/23
Sono: OU) retinal detachment, 초자체 내 염증","A) OU) Panuveitis, 망막박리, 전염병 의심. ","FIV +, FCoV +",CE) 양안 심각한 염증으로 인해 망막박리까지 된 상황. 시력 상실증상 나타난 시기가 1주가 넘었으므로 시력회복 불가능할 듯. 소염처치하며 산동제 넣으면 안압 상승할 수 있어서 금요일에 안압체크하러 오시길 권장드림. ,P) 내일 퇴원 시 안압 10 이상이면 트루솝 처방해주세요,"1. 크라 4
2. 미드 4
3. 플러비 4
4. 옵타란 6
5. 라큐아 4
",,,,,,
"S) OS) 각막천공부위에 색소침착 및 육아직 형성되어있고 전안방 collapse, cataract.
           점액성 눈곱, mild hyperemia 
    OD) nuclear sclerosis
STT 22/14
IOP 10/5,21,13 등 부위별로 다르게 나타남.(안방수가 없고 각막의 두께가 다르므로)","A) OS) 각막 표면이 irregular하고 각막천공으로 인해 각막 신경다발이 손상되었다면 눈물이 마를 수 있음. 현재 눈물량이 많이 부족하지 않으나 현재 지속적인 충혈과 눈곱은 눈물의 지속성이 떨어지기 때문이라고 판단.
OD) 핵경화","P) 집에서 따님이 쓰고있는 인공눈물 tid 적용해보고 개선효과 없으면 소염제 쓰기로 함.
",,,,,,,,,,
"S) OD) 각막 중심부가 irregular하고 dry하여 각막표면 영향받고 있음. 
FDT -
BG : 487",OD) 3안검플랩 실시. ,"오플 2-3회
라큐아 2-3회",A) 안검반사가 돌아올 때까지 플랩 및 넥칼라 유지. ,,,,,,,,,
"S) debridement 시 다시 벗겨지고 면적이 더 넓어짐. 혈관화 더 심해짐. 
No flare.",OP) 3안검 플랩. 재수술,** ,"1. 크라 4
2. 혈청 4-6
3. 라큐아 4",P) 1주후 재진.  플러비 처방예정. ,,,,,,,,
"A) OU) 포도막염으로 인한 mild glaucoma
           양안 포도막염이므로 전신질환과 연관된 것일 수 있으므로 혈액검사 해보기로 함. ",p) 내일 동물원 자체 내 혈액검사 진행한 후 내복약 먹이기로 함. ,"pds 1T, 
cepha 1T
miso 0.5T
UDCA 1T","포러스, 플러비, qid
트루솝 bid
라큐아 qid",,,,,,,,,
S) OS) 2mm정도의 bullae 생겨있고 궤양부는 대부분 막혀서 염색안됨. ,"A) NaCl 4회. 라큐아 4회.
다음주부터 포러스 2회 한달 간 점안해주세요",,,,,,,,,,,
"OS) 각막궤양 치유완료. No flare
IOP 3/14","A) 어제 생긴 각막궤양 치유완료.- 눈물량 부족으로 생긴 것으로 보임. 
지난주 금요일부터 맥시트롤 중단. 
스테로이드 PO 1주, 맥시트롤 점안 후에도 극미량 남아있는 flare는 어쩔 수 없음. ","베톱틱 2
트루솝2
루미간 1
리포직 prn","p) STT 2일 간격으로 검사했을 때 10 미만이면 옵티뮨 처방하기로 함.     
",,,,,,,,,
"S) OU) mild hyperemia, purulent discharge
           limbus 주변으로 ghost vessels 확인됨. 
STT 6/6
IOP 12/12","A) OU) KCS
     
맥시트롤 tid
라큐아 tid
옵티뮨 sid
",,,,,,,,,,,
"S) OS) 각막혼탁 및 혈관화 거의 개선. 미약한 혼탁. 
           우안이 dry해보임",STT 12/19,"A) 갑기저 환자이므로 눈물량 부족할 수 있음. 양안 모두 라큐아 bid 점안 지시. 
   
● 2주 후 재진",,,,,,,,,,
"S) OU) No hyperemia, dry discharge소량.
STT 7/7
TFBUT 16/11 - 점액과 지질은 양호.","A) OU) 염증은 완화되었지만 아직 눈물량은 크게 개선되지 않음.
           눈물량 매주 STT 측정하여 기록해둘것. 
           맥시트롤 중단.",,,,,,,,,,,
"S) OD) 각막 중심부의 pin point ulcer, mild hyphema
    OU) 각막의 dorsal region은 corneal opacity, vascularization과 같은 keratitis
           좌안은 pigmentation 심한편.
STT 27/6
IOP 11/10","A) OD) corneal ulcer, mild hyphema, corneal degeneration
     OU) chronic keratitis
     OS) KCS","현재 신부전으로 인해 carprofen등 내복약 처방하기 힘듦. 
안약으로만 치료하기엔 각막변성으로 인해 각막 상피화 오래걸릴 예정. ","크라 4
혈청 6
미드 4
라큐아 6",,,,,,,,,
"S) menace +,-, dazzle +,+, PLR +,- 
OS) 각막중심부 5mm 정도의 천공부에 fibrin과 blood clot이 막고있고 그 주변으로 넓게 각막 궤양 진행. 11- 1시 방향에 산동보이고 홍채가 anterior synechia되어 천공부 막고 있음. ",IOP 13/9,"A) OS) corneal perforation, severe uveitis, lateral exopthalmos, periorbital mass","CE)
- 각막천공은 안구돌출로 나타난 2차증상이므로, 각막천공 뿐 아니라 근본적인 원인 안구돌출도 검사해서 해결해야 합니다. 그러기 위해서는 CT검사가 필요합니다. 
- 하지만 현재 심장질환을 앓고 있는 환자로서, 마취시간을 최소화 시키는게 제일 중요하고 무엇보다 각막천공은 시력을 유지하기 위해서는 응급치료가 필요한 상황입니다. 
- 결막플랩 대신 3안검플랩, 안구적출 등의 방법도 있습니다. 
-> 보호자 상담으로 비용과 마취시간을 고려하여 오늘 당일 결막플랩 실시하고, 안구돌출에 대한 검사는 추후에 진행하기로 함. ","
OP) conjunctival(rotational pedicle) graft실시.
- 중심부터 아래쪽으로 궤양부가 넓어서 3시 방향으로부터 플랩형성.
- 워낙 궤양부가 넓어 결막 찢어질 우려 있어 플랩의 두께를 좀 더 두껍게 형성. 
- 플랩봉합 후 안검 봉합 1땀으로 pedicle 보호. ","1. 크라 6
2. 아트로핀 1
3. 미드 6
4. 리프레쉬 6","CE) 
- 수술과 마취는 잘 되었으나 천공부가 크고 포도막염이 심했던 터라(& 지속적인 pds 사용...) 염증으로 인해 각막이 계속 취약해지면 결막과 유합이 안될 가능성도 말씀드림. 
- 안구돌출은 각막 치료종료후에도 점진적으로 진행되면  CT 촬영 필요성 언급
- 현재 방광결석은 입원기간 중 요검사해보고 결과에 따라 치료 방향 결정하기로 함. ",,,,,,
S) OS) 지난번에 비해 각막변성처럼 진행되던 증상은 사라지고 혈구 흡수되며 훨씬 깨끗해보임. 혈관 신생.,A) 맥시트롤보다 옵티뮨으로 더 잘 유지됨. ,P) 2주 후 재진. ,"-------------------------
귀 염증 
Rx)
amc 20mg/kg bid
udca 5mg/kg bid
itraconazol 5mg/kg sid(아침)
PDS 0.5mg/kg sid(아침)
(PO for 7days)",라큐아 추가처방,,,,,,,,
"S) menace +,-, dazzle +,-/+, PLR +,-(확인 불가) 
OS) 여전히 결막출혈로 인해 chemosis가 심하고 hyphema가 전안방의 반 이상 차있고 윗부분도 출혈로 인해 동공 및 홍채가 확인되지 않음. ","IOP 19/11
FDT -
U/S: 전안방 및 초자체에 출혈조직 심함. ","A) OS) severe hyphema.
- 안구의 중요조직이 손상되어 초자체와 안구주변까지 심한 출혈이 있었던터라 시력회복 가능성 매우 낮음. 
- 그래도 치료를 하는데까지 해보고 안된다고 하면 점점 안로로 진행될 것. 
- 안구적출술은 필요치 않음. ","Tx)
dexa, 결막하주사. ","pds 0.5mg/kg, 
miso 5
amox 20
udca 5
",,,,,,,,
"S) OU) menace +,+, dazzle +,+, 
          PLR +,-(약함) -> 축동 시 우안은 충분히 축동되나 좌안은 mid-point정도로 유지.(synechia)","OS) yellow iris, 7시 방향에 posterior synechia. 렌즈 전낭에 hypopyon 붙어있음. 
       동공 margin이 iris bombe가 되듯이 살짝 말려있음. flare +++
       keratic precipitates(KPs)
OD) flare+, ",A) OU) uveitis due to FIP,하루 입원하여 수액처치 원하셔서 입원치료. ,"Tx)
1. 맥시 4,6
2. 미드 2,4
3. 라큐아 3,3","작은 캡슐로 하기 위해 다른 약 제외.
pds 2mg/kg
famo 0.5mg/kg
bid for 7days
",,,,,,,
"S) menace +,+, dazzle +,+, PLR +,+, VP +,+ 
OD) 각막중심부 iris prolapse(red dot), 그 주변으로 corneal edema, vascularization.
-10시 방향 anterior synechia. 유착부를 제외한 나머지 홍채는 PLR 양호. 
-내/외측 각막에 pigmentation
-No flare
OS) dry eye, prulent discharge. 
- 각막중심부 결막플랩 scar. vascularization. 
- 4시 방향 각막 facet
- 10시방향 anterior synechia. 나머지 홍채 부위 양호. ","STT 19/13
IOP 12/12","A) OD) 각막천공으로 인한 홍채유착. 각막상피화와 포도막염 관리가 잘 되어 현재 keratitis만 정리해주면 될것으로 보임. 
OS) KCS 의심. - 눈물량 다소 부족한 것에 비해 증상이 심해보임. 현재 관리상의 문제일 수 있으니 다음주 다시 눈물량 체크하여 KCS여부 판단하기로 함. ","Rx)
맥시트롤 3,0
라큐아 3,3 ",,,,,,,,,
"
S) 각막궤양 치유완료. hypopyon은 더 심해짐.(1/3정도 차있음)
STT 15/11
IOP 7/14","A) 궤양이 치유되어 다행. 포도막염 치료에 주력해야하지만 내복약을 못먹기 때문에 
triamcinolone 0,1ml, 결막하주사 실시.","크라 4
미드 4
플루비 4
맥시 6 
라큐아 6",,,,,,,,,,
"S) OD) brown ocular discharge. lacrimation
           generalized corneal opacity, vascularization, 각막 중심부에 fibrotic scar?
    OS) NRF
STT 24/20
IOP 19/19
FDT -",A) OD) chronic keratitis,현재 궤양은 없으므로 염증완화 및 각막혼탁 개선목적으로 맥시트롤 tid 처방. ,P) 1주후 재진,,,,,,,,,
"S) 발사.
   OD) 각막중심부 corneal opacity, nasal 쪽에서의 혈관 위축. 
           sequestrum유발 갈색색소 관찰안됨. 
           12-1시 방향의 직경 2-3mm 정도의 superficial ulcer.(최근 생긴 것으로 판단)
            No flare",A) OD) chronic keratitis는 매우 개선된 양상이나 새로 생긴 궤양(플랩 느슨해지며 봉합사의 자극때문인 것으로 생각됨)이 있어 금요일 재진. ,"크라 3
라큐아 3","
",,,,,,,,,
"S) 플랩 양호하나 중심부 충혈 지속. periocular mucous discharge. 
    전안방 깊이가 다소 깊어졌고 10시방향의 synechia 떨어진 흔적 보임. 
    하지만 ventral region의 홍채유착부는 여전히 견고하게 유지중",IOP 10/9,"A) 
- 플랩상태 양호하나 중심부의 충혈이 있음. 플랩으로 인해 blinking방해될 우려가 있어 안검플랩 한땀 실시했지만 그래도 중심부는 완전히 감지 못하는 것으로 보임. 인공눈물 수시로 점안할것.
- 현재 홍채유착부는 더이상 떨어지지 않을 것으로 판단. 그 부위는 시야가 가려질 것. 
- 안방수가 생성되어 전안방으로 차고 있음. 긍정적인 효과.
- 안와의 mass는 만성염증세포가 보여 이전 염증의 힐링과정에서 생긴 mass일 것으로 판단됨.","P) 3일 후 재진 
",,,,,,,,,
"
S) OU) severe distichiasis(한 눈당 10개 이상)
    OS) severe hyperemia, 12시 방향에 직경 3mm정도의 stromal ulcer. corneal edema
          flare ++, miosis","
 Dx) distichiasis 로 인한 corneal stromal ulcer 
        mild uveitis"," Rx) cepha 30, carprofen 2.2, famo 0.5 bid for 7days","크라6, 미드4, 라큐아6","P) 다음 주 epilation 실시 예정.
       ",,,,,,,,
