id,species,category,disease_number,keywords,user_question,qa_list,created_at,version,service
78,dog,내과,76,얆은 피부,강아지 피부가 얇아졌어요. 강아지 피부 밑에 혈관이 비쳐요. 강아지 혈관이 잘 보여요. ,"{언제부터 관찰되었나요?,1. 1달 이내 (3점)
2. 1달 이상 (5점),최근 물을 마시는 양이 늘어났다고 느끼시나요? ,1. 하루 체중당 100ml 이상 마셔요 (10점)
2. 많이 마시는 거 같은데 정확히 얼마나 많이 마시는지는 모르겠어요. (7점)
3. 아니요 (1점),탈모, 비듬 등의 다른 피부 병변도 있나요? ,1. 네 (3점)
2. 아니요 (1점) ,심하게 헥헥거리거나 배가 빵빵해서 힘들어하나요? ,1. 네 (5점)
2. 아니요 (1점),missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing}",2023-01-04 14:43:11.050948,1,chat
80,dog,내과,78,요실금,강아지가 요실금이 있어요. 강아지가 소변을 지려요. ,"{언제부터 관찰되었나요? ,1. 어릴때부터 (3점) 
2. 나이가 들어서 처음 관찰됨 (0점),소변에서 악취가 나거나 피가 섞여 있나요? ,1. 네 (5점) 
2. 아니요 (0점) ,경련을 하거나 다리에 힘이 없어서 잘 못 걷는다거나 목 또는 허리를 만지거나 안을 때 아파하는 증상이 있나요? ,1. 네 (10점)
2. 아니요 (0점),소변색이 물처럼 투명하거나 물을 최근 많이 마시나요? ,1. 네 (3점)
2. 아니요 (0점) ,소변 볼 때마다 증상이 있나요 아니면 정상적으로 소변을 볼 때도 있나요? ,1. 볼 때마다 증상이 있어요 (5점)
2. 정상적으로 볼 때도 있어요 (3점) ,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing}",2023-01-04 14:43:11.050948,1,chat
85,dog,비뇨생식기과,83,유산,강아지가 임신때마다 유산을 해요 / 강아지가 유산한 이력이 있어요/ 강아지가 유산한 것 같아요,"{언제부터 관찰되었나요?,1. 이번에 처음 관찰됨 (3점)
2. 이전에도 관찰되었던 증상임 (5점),관리중인 호르몬 질환이 존재하나요?,1. 네 (3점)
2. 아니요 (5점),평소 물을 하루100ml/kg (체중 1kg당 100ml) 이상 많이 마시나요?,1. 네 (5점)
2. 아니요 (1점),임신 중 독성물질, 호르몬물질, 약물에 노출된 적이 있나요?,1. 네 (5점)
2. 아니요 (1점),모견이 지속적인 기력저하나 저체온증을 보이거나 생식기에서 삼출물을 보이나요?,1. 네 (15점)
2. 아니요 (1점),missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing}",2023-01-04 14:43:11.050948,1,chat
91,dog,내과,89,이식증 (이상한 것 먹음),강아지가 이상한걸 먹어요. 강아지가 흙을 먹어요. 강아지가 바닥을 핥아요.,"{언제부터 관찰되었나요?,1. 1주일 이내 (10점)
2. 1달 이내 (5점)
3. 1달 이상 (1점),잇몸, 혀, 귀 안쪽 색깔이 이전보다 창백한가요? ,1. 네 (15점)
2. 아니요 (0점),최근에 사료를 변경한적이 있나요? ,1. 네 (0점)
2. 아니요 (3점),체중이 감소하고 있나요?,1. 네 (5점)
2. 아니요 (0점),활력은 어떤가요? 이전과 비슷한가요? 활력이 많이 감소했나요? ,1. 증상이 있기 전과 비슷하게 잘 놀아요. (0점)
2. 증상이 있기 전보다 움직임이 확연히 줄어들었어요. (15점) 
3. 꼭 필요할 때 (먹을 때, 화장실 갈 때)를 제외하고는 움직이지 않아요. (25점),missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing}",2023-01-04 14:43:11.050948,1,chat
93,dog,피부과,91,재발하는 피부병,강아지가 완치해도 농피증이 계속 재발돼요 / 완치해도 외이염이 계속 재발돼요,"{언제부터 관찰되었나요?,1. 최근 2주이내 (5점)
2. 수주간 지속, 1년 이내 (3점)
3. 특정 나이부터 (1점)
4. 특정 계절마다 (3점)
5. 특정 이벤트 후 (1점),얼마나 심하게 가려워 하나요?,1. 피가날정도로 많이 가려워해요 (5점)
2. 조금씩 꾸준히 가려워해요 (3점)
3. 어쩌다 한번씩 긁어요 (1점),만성적인 위장관 증상 (구토, 설사 등)을 보이나요?,1. 네 (3점)
2. 아니요 (1점),주기적인 외부기생충 예방을 진행하나요?,1. 네 (1점)
2. 아니요 (5점),발, 얼굴, 귀, 겨드랑이, 항문주위, 서혜부 (사타구니), 엉덩이를 주로 가려워 하나요?,1. 네 (3점)
2. 아니요 (1점),missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing}",2023-01-04 14:43:11.050948,1,chat
97,dog,안과&신경과,95,눈 안에 피,강아지 눈 안에 피가 보여요. 강아지 눈알이 빨개요. 안구출혈이 있어요.,"{언제부터 관찰되었나요?,1. 1일 이내 (15점)
2. 1주일 이내 (13점)
3. 1주일 이상 (10점),최근에 큰 충격을 받은적이 있나요? (교통사고, 낙상 등),1. 네 (25점)
2. 아니요 (0점)
3. 잘 모르겠음 (0점),잇몸, 혀, 귀 안쪽 색깔이 이전보다 창백한가요? ,1. 네 (15점)
2. 아니요 (0점),활력은 어떤가요? 이전과 비슷한가요? 활력이 많이 감소했나요? ,1. 증상이 있기 전과 비슷하게 잘 놀아요. (0점)
2. 증상이 있기 전보다 움직임이 확연히 줄어들었어요. (15점) 
3. 꼭 필요할 때 (먹을 때, 화장실 갈 때)를 제외하고는 움직이지 않아요. (25점),눈을 잘 못 뜬다거나 앞이 잘 안 보이는 것 같다거나 등의 다른 증상도 있나요? ,1. 네 (15점)
2. 아니요 (5점),missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing}",2023-01-04 14:43:11.050948,1,chat
108,dog,내과,106,빨간 반점 ,"강아지 몸(배,잇몸)에 빨간 반점이 생겼어요. 강아지가 피멍이 들었어요. 강아지가 멍이 들었어요.","{언제부터 관찰되었나요?,1. 3일 이내 (6점)
2. 1주일 이내 (10점)
3. 1주일 이상 (15점),잇몸, 혀, 귀 안쪽 색깔이 이전보다 창백한가요? ,1. 네 (15점)
2. 아니요 (0점),최근에 변 색깔이 많이 까맣다고 느끼신적이 있나요? ,1. 네 (15점)
2. 아니요 (0점),활력은 어떤가요? 이전과 비슷한가요? 활력이 많이 감소했나요? ,1. 증상이 있기 전과 비슷하게 잘 놀아요. (0점)
2. 증상이 있기 전보다 움직임이 확연히 줄어들었어요. (15점) 
3. 꼭 필요할 때 (먹을 때, 화장실 갈 때)를 제외하고는 움직이지 않아요. (25점),식욕이 어떤가요? 이전과 비슷한가요? 맛있는 것만 먹나요? 아무것도 먹지 않나요? ,1. 증상이 나타나기 전과 비슷해요 (0점)
2. 맛있는 것만 먹어요 (5점)
3. 아무 것도 안먹어요 (10점) ,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing}",2023-01-04 14:43:11.050948,1,chat
110,dog,외과,108,이빨 안빠짐,"강아지 이빨이 많아보여요, 강아지가 이갈이를 안해요, 강아지 유치가 안 빠져요, 강아지 유치가 남아있어요. 이빨이 두줄로 있어요. 이빨이 겹쳐있어요. ","{언제부터 관찰되었나요?,1. 1주일 이내 (1점)
2. 1달 이내 (1점)
3. 1달 이상 (2점) ,강아지가 8개월령 이상인가요? ,1. 네 (5점)
2. 아니요 (0점) ,치아가 겹쳐진 부분에 치석이 생겨있나요? ,1. 네 (3점)
2. 아니요 (0점) ,남아있는 치아 때문에 치열이 고르지 못한가요? ,1. 네 (3점)
2. 아니요 (0점)
3. 잘 모르겠어요 (3점),missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing}",2023-01-04 14:43:11.050948,1,chat
115,dog,피부과,113,탈모,강아지 털이 계속 빠져요. 강아지 털이 많이 빠져요. 탈모가 있어요.,"{언제부터 관찰되었나요?,1. 최근 2주이내 (5점)
2. 수주간 지속, 1년 이내 (3점)
3. 특정 나이부터 (1점)
4. 특정 계절마다 (3점)
5. 특정 이벤트 후 (1점),탈모양상이 어떠한가요?,1. 국소적 일부만 (5점)
2. 국소적 몸전체 (5점)
3. 대칭적 몸전체 (3점),탈모부위를 가려워 하나요?,1. 피가날정도로 많이 가려워해요 (5점)
2. 조금씩 꾸준히 가려워해요 (3점)
3. 어쩌다 한번씩 긁어요 (1점),주기적인 외부기생충 예방을 진행하나요?,1. 네 (1점)
2. 아니요 (5점),오랜시간 탈모 외 다른 증상은 없나요?,1. 네 (1점)
2. 아니요 (3점),missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing}",2023-01-04 14:43:11.050948,1,chat
117,dog,피부과,115,코끼리 피부,강아지 피부가 코끼리 피부 같아요. 피부가 태선화되었어요.,"{언제부터 관찰되었나요?,1. 최근 2주이내 (5점)
2. 수주간 지속, 1년 이내 (3점)
3. 특정 나이부터 (1점)
4. 특정 계절마다 (3점)
5. 특정 이벤트 후 (1점),피부병이 계속 재발되거나 피부병을 지속적으로 관리하고 있나요?,1. 지속적 관리중 (5점)
2. 경미하게 재발 (3점)
3. 아니요 (1점),몸이 기름지고 냄새가 많이 나나요?,1. 네 (5점)
2. 아니요 (1점),피부를 가려워 하나요?,1. 네 (3점)
2. 아니요 (1점),피부 처방식을 급여 중인가요?,1. 네 (3점)
2. 아니요 (1점),missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing}",2023-01-04 14:43:11.050948,1,chat
122,dog,피부과,120,피부 안에 혹,강아지 혹이 피부 밑에 있어요 / 피부 안에 혹이 있어요/ 몸 속에서 덩어리가 만져져요,"{언제부터 관찰되었나요?,1. 최근 발견 (1점)
2. 수개월째 지속 (3점),크기 변화가 있나요?,1. 매일 급격히 커지는중 (10점)
2. 발견후 조금 커진느낌 이나 전반적으로 비슷 (3점)
3. 크기변화 없음 (1점),만졌을때 느낌이 어떤가요? ,1. 단단한 근육느낌 (3점)
2. 물찬듯한 느낌 (5점)
3. 물렁한 지방느낌 (1점)
4. 스펀지같은 느낌 (3점),만졌을때 강아지가 싫어하거나 아파하나요?,1. 네 (5점)
2. 아니요 (3점),종괴가 주변 조직과 명확히 구분되나요?,1. 네 (1점)
2. 아니요 (5점),missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing}",2023-01-04 14:43:11.050948,1,chat
129,dog,내과,127,혈변,강아지가 피똥을 쌌어요. 강아지 변이 빨개요. 강아지 변에 피가 섞여있어요.,"{언제부터 관찰되었나요?,1. 1주일 이내 경과 (2점)
2. 1주일 이상 ~ 1달 이내 (3점)
3. 1달 이상 경과함 (5점),변에 전체적으로 피가 섞여 있나요? 아니면 정상변 겉에 피가 묻어있나요? ,1. 전체적으로 피가 섞여있어요 (15점)
2. 겉에 피가 묻어있어요 (3점) ,잇몸, 혀, 귀 안쪽 색깔이 이전보다 창백한가요? ,1. 네 (15점)
2. 아니요 (0점),활력은 어떤가요? 이전과 비슷한가요? 활력이 많이 감소했나요? ,1. 증상이 있기 전과 비슷하게 잘 놀아요. (0점)
2. 증상이 있기 전보다 움직임이 확연히 줄어들었어요. (10점) 
3. 꼭 필요할 때 (먹을 때, 화장실 갈 때)를 제외하고는 움직이지 않아요. (15점),식욕이 어떤가요? 이전과 비슷한가요? 맛있는 것만 먹나요? 아무것도 먹지 않나요? ,1. 증상이 나타나기 전과 비슷해요 (0점)
2. 맛있는 것만 먹어요 (5점)
3. 아무 것도 안먹어요 (10점) ,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing}",2023-01-04 14:43:11.050948,1,chat
137,cat,안과&신경과,1,각막 부종 (눈이 전체적으로 푸른색),고양이 각막에 물이 찬것 같아요 / 고양이 눈이 파랗게 보여요 / 고양이 눈이 뿌옇게 보여요/ 각막 부종이 있는 것 같아요.,"{언제부터 관찰되었나요?,1. 7일 이내 (5점)
2. 오래 됐음 (3점),각막색이 변하기전 눈 질병을 관리 또는 치료 중이었나요?,1. 네 (5점)
2. 아니요 (7점),각막색이 변하기 전 눈이 빨갛거나 눈이 튀어나와 보였나요?,1. 네 (5점)
2. 아니요 (7점),사람약 등 먹어서는 안될 물질을 먹었을 가능성이 있나요?,1. 네 (10점)
2. 아니요 (3점),침울, 복부팽만, 황달, 신경증상, 호흡곤란을 보이나요?,1. 네 (10점)
2. 아니요 (3점),응급(25점 이상)
위험(15~24점)
주의(6~14점)
관찰(0~5점)}",2023-01-04 14:44:38.340771,1,chat
138,cat,피부과,2,각질,고양이 몸에 비듬이 많아요. 각질이 많아요. ,"{언제부터 비듬이 관찰되었나요?,1. 최근 2주이내 (5점)
2. 수주간 지속, 1년 이내 (3점)
3. 특정 나이부터 (1점)
4. 특정 계절마다 (3점)
5. 특정 이벤트 후 (1점),피부를 가려워 하나요?,1. 아니요 (1점)
2. 원래 가려운 정도 (3점)
3. 가려움이 심해짐 (5점),주기적인 외부기생충 예방을 진행하나요?,1. 네 (1점)
2. 아니요 (5점),둥근 국소적 탈모나 표피잔고리(작고 동그랗게 각질이 생기는 병변)가 존재하나요?,1. 네 (3점)
2. 아니요 (1점),피부에 이유 모르게 궤양성 상처나 수포가 생기나요?,1. 네 (5점)
2. 아니요 (1점),응급(25점 이상)
위험(15~24점)
주의(6~14점)
관찰(0~5점)}",2023-01-04 14:44:38.340771,1,chat
139,cat,내과,3,객혈 (기침시 혈액이 나옴),고양이가 기침하는데 피가 섞여 있어요. 객혈을 해요. 기침에서 피가 나와요. 피 가래가 나와요. ,"{언제부터 관찰되었나요?,1. 7일 이내 (10점)
2. 오래 됐음 (3점),구토, 침울 증상을 보이거나 이물섭취 의심이 되나요?,1. 네 (10점)
2. 아니요 (5점)
3. 잘모르겠음(7점),이유없는 피멍이나 출혈, 관절부종이 관철되나요?,1. 네 (10점)
2. 아니요 (5점)
3. 잘모르겠음(7점),호흡이 가쁘거나 개구호흡을 하나요?,1. 네 (10점)
2. 아니요 (5점),missing,missing,응급(25점 이상)
위험(15~24점)
주의(6~14점)
관찰(0~5점)}",2023-01-04 14:44:38.340771,1,chat
140,cat,안과&신경과,4,눈 충혈,고양이 눈이 빨개졌어요. 고양이 눈이 부었어요. 눈이 충혈되었어요.,"{언제부터 관찰되었나요?,1. 7일 이내 (1점)
2. 1주 초과 (3점),눈이 뿌옇거나 평소보다 돌출돼 보이나요?,1. 네 (10점)
2. 아니요 (3점),눈썹 털이 각막을 자극하고있거나 평소에도 눈물이 많이 나는 편이었나요?,1. 네 (1점)
2. 아니요 (3점),침울, 복부팽만, 황달, 신경증상, 호흡곤란을 보이나요?,1. 네 (10점)
2. 아니요 (3점),missing,missing,응급(25점 이상)
위험(15~24점)
주의(6~14점)
관찰(0~5점)}",2023-01-04 14:44:38.340771,1,chat
141,cat,내과,5,경련,고양이가 발작해요. 고양이가 경련해요. 고양이가가 쓰러져서 다리를 휘저어요. ,"{언제부터 증상이 관찰되었나요? ,1. 1주일 이내 (10점)
2. 1달 이내 (5점)
3. 6개월 이내 (3점)
4. 6개월 이상 경과 (3점) ,증상이 얼마나 자주 관찰되나요?,1. 하루에 1회 이상 (15점) 
2. 1주일에 1회 이상 (10점)
3. 1달에 1회 이상 (5점)
4. 그 이상의 간격 (3점),경련을 안하고 있을 때는 평소와 다름이 없나요 아니면 무기력, 식욕감소, 보행이상 (다리에 힘이 없음), 근육의 떨림 등의 다른 증상들이 계속 나타나고 있나요?,1. 평소와 달리 다른 증상들이 나타나요 (15점)
2. 평상시와 똑같아요. (3점),먹으면 안되는 물질 (카페인, 사람약, 과량의 심장사상충 구충제, 담배, 초콜릿 등)을 먹었을 가능성이나 외상(낙상 포함) 가능성이 있나요?  ,1. 네 (25점)
2. 아니요 (3점),침울, 복부팽만, 황달, 호흡곤란을 보이나요?,1. 네 (10점)
2. 아니요 (3점),응급(25점 이상)
위험(15~24점)
주의(6~14점)
관찰(0~5점)}",2023-01-04 14:44:38.340771,1,chat
142,cat,내과,6,침 흘림,고양이가 침을 많이 흘려요. 침을 흘려요. 유연증상이 있어요. 침 흘림 증상이 있어요. ,"{언제부터 침흘림 증상이 생겼나요? ,1. 아직 24시간이 지나지 않음. (5점)
2. 하루 이상 경과함. (8점)
3. 3일 이상 경과함. (10점),구토 또는 설사 증상이 함께 나타나나요? ,1. 네 (15점)
2. 아니요 (0점),경련, 눈의 동공이 커져있음, 비틀비틀 걸음 등의 증상을 함께 보이고 있나요? ,1. 네 (25점)
2. 아니요 (0점),밥을 먹고 싶어하는데 씹는 것을 힘들어하거나 식욕이 감소했나요? ,1. 증상이 나타나기 전과 비슷해요 (0점)
2. 맛있거나 부드러운 것은 먹어요 (10점)
3. 아무 것도 안 먹어요 (15점),입 주변 털이 젖을 정도로 침흘림이 멈추지 않고 있나요? ,1. 네 (5점)
2. 아니요 (0점),응급(25점 이상)
위험(15~24점)
주의(6~14점)
관찰(0~5점)}",2023-01-04 14:44:38.340771,1,chat
143,cat,내과,7,구강 궤양,고양이 입이 헐었어요. 고양이가 구내염이 의심돼요. 입안에 궤양이 있어요. ,"{언제부터 관찰되었나요?,1. 최근 2주이내 (5점)
 2. 수주간 지속 (10점)
 3. 특정 계절마다 (7점),잇몸, 피부에도 궤양이 있거나 각질이 많나요?,1. 네 (5점)
 2. 아니요 (2점),확연한 소변량변화, 구토, 비틀거림 증상이 있나요?,1. 네 (15점)
 2. 아니요 (2점),침울, 황달, 저체온, 신경증상, 복부팽만 증상을 보이나요?,1. 네 (15점)
 2. 아니요 (2점),치석이 많거나 목구멍이 헐어있나요?,1. 네 (5점)
 2. 아니요 (2점),응급(25점 이상)
위험(15~24점)
주의(6~14점)
관찰(0~5점)}",2023-01-04 14:44:38.340771,1,chat
